Date,Open,High,Low,Close,Adj Close,Volume
2015-06-29,90.529999,91.639999,90.059998,90.120003,76.779465,126000
2015-06-30,90.519997,90.519997,89.660004,89.919998,76.609055,116200
2015-07-01,90.040001,90.300003,89.760002,90.250000,76.890228,132600
2015-07-02,90.849998,91.639999,90.349998,91.570000,78.014824,231800
2015-07-06,91.339996,92.000000,91.099998,91.809998,78.219284,110800
2015-07-07,92.169998,94.339996,92.169998,93.980003,80.068069,277200
2015-07-08,93.660004,94.220001,93.339996,93.510002,79.667641,112400
2015-07-09,93.820000,94.029999,92.209999,92.510002,78.815681,91400
2015-07-10,92.669998,93.639999,92.339996,93.050003,79.275742,235500
2015-07-13,93.300003,93.650002,92.599998,93.089996,79.309814,131600
2015-07-14,93.029999,93.529999,92.769997,93.000000,79.233131,99700
2015-07-15,92.930000,93.349998,92.529999,93.349998,79.531319,82800
2015-07-16,93.379997,94.800003,93.379997,94.760002,80.732605,115000
2015-07-17,94.650002,94.650002,93.730003,93.730003,79.855064,103400
2015-07-20,93.739998,93.739998,92.779999,93.209999,79.412041,130300
2015-07-21,93.019997,93.239998,91.970001,92.320000,78.653793,102500
2015-07-22,92.239998,93.139999,92.239998,92.680000,78.960503,108800
2015-07-23,92.589996,92.589996,90.930000,91.349998,77.827385,122800
2015-07-24,91.309998,91.650002,91.129997,91.309998,77.793320,106200
2015-07-27,91.260002,92.870003,91.260002,92.510002,78.815681,102600
2015-07-28,92.599998,93.000000,92.290001,92.959999,79.199043,116900
2015-07-29,92.820000,93.349998,92.290001,93.260002,79.454651,118300
2015-07-30,93.220001,94.309998,92.860001,93.989998,80.076591,105500
2015-07-31,94.449997,95.669998,94.449997,94.839996,80.800774,155800
2015-08-03,94.900002,95.800003,94.779999,95.230003,81.133034,122000
2015-08-04,95.129997,95.129997,93.500000,93.669998,79.803947,111200
2015-08-05,93.860001,94.610001,93.730003,94.019997,80.102142,121100
2015-08-06,94.059998,94.260002,92.989998,94.230003,80.281067,173000
2015-08-07,94.150002,95.629997,93.680000,95.269997,81.167099,129800
2015-08-10,95.290001,95.839996,94.830002,95.000000,80.937065,163600
2015-08-11,95.059998,96.019997,94.739998,95.449997,81.320457,200800
2015-08-12,95.239998,97.269997,95.239998,97.099998,82.726212,167400
2015-08-13,96.830002,97.419998,96.150002,97.120003,82.743233,213300
2015-08-14,96.970001,97.970001,96.620003,97.940002,83.441856,373300
2015-08-17,98.070000,98.879997,97.779999,98.480003,83.901932,220600
2015-08-18,98.339996,98.389999,97.930000,98.150002,83.620789,144800
2015-08-19,97.849998,98.820000,97.419998,98.470001,83.893410,81900
2015-08-20,98.099998,98.940002,97.519997,97.760002,83.288536,162000
2015-08-21,97.400002,97.699997,96.510002,96.529999,82.240570,146500
2015-08-24,95.570000,95.570000,92.000000,93.089996,79.309814,305300
2015-08-25,94.080002,94.599998,90.260002,90.279999,76.915787,1562800
2015-08-26,91.160004,92.010002,90.050003,91.809998,78.219284,187500
2015-08-27,92.480003,92.989998,91.769997,92.959999,79.199043,307900
2015-08-28,92.919998,93.150002,91.650002,92.820000,79.079773,81600
2015-08-31,92.519997,92.519997,90.650002,91.430000,77.895546,118200
2015-09-01,90.519997,90.529999,88.519997,89.040001,75.859337,335200
2015-09-02,89.790001,89.949997,88.260002,88.970001,75.799698,145500
2015-09-03,89.199997,89.849998,89.099998,89.470001,76.225693,94000
2015-09-04,88.889999,88.889999,87.839996,88.180000,75.126648,308800
2015-09-08,89.099998,90.000000,89.099998,89.980003,76.660202,201600
2015-09-09,90.209999,90.459999,88.870003,88.989998,75.816742,160600
2015-09-10,88.949997,89.620003,88.529999,88.739998,75.603752,243900
2015-09-11,88.500000,89.430000,88.320000,89.419998,76.183075,54000
2015-09-14,89.440002,90.180000,89.440002,89.680000,76.404587,70800
2015-09-15,89.709999,90.330002,89.239998,90.209999,76.856140,78800
2015-09-16,90.220001,91.290001,90.180000,91.160004,77.665512,70500
2015-09-17,91.070000,93.430000,90.970001,92.290001,78.628242,158900
2015-09-18,91.650002,92.650002,91.300003,91.730003,78.151131,197200
2015-09-21,91.949997,92.580002,91.820000,92.059998,78.432281,64000
2015-09-22,91.629997,91.919998,90.720001,90.980003,77.512154,66600
2015-09-23,91.110001,91.370003,90.809998,91.169998,77.674042,53400
2015-09-24,90.940002,92.029999,90.940002,91.900002,78.295967,60900
2015-09-25,91.360001,92.769997,90.870003,91.910004,79.057228,145600
2015-09-28,91.680000,92.300003,91.309998,91.410004,78.627136,90500
2015-09-29,91.540001,91.940002,91.029999,91.449997,78.661530,157200
2015-09-30,91.790001,93.129997,91.639999,93.019997,80.011993,103400
2015-10-01,93.180000,93.190002,91.330002,92.059998,79.186234,191300
2015-10-02,92.410004,93.300003,91.879997,93.300003,80.252838,126700
2015-10-05,93.669998,94.760002,93.370003,94.669998,81.431236,276200
2015-10-06,94.580002,94.620003,93.529999,93.959999,80.820541,158200
2015-10-07,94.120003,94.260002,93.599998,93.760002,80.648506,84700
2015-10-08,93.589996,95.089996,93.389999,94.940002,81.663506,61400
2015-10-09,94.989998,95.050003,94.360001,94.610001,81.379654,115000
2015-10-12,94.720001,95.820000,94.720001,95.410004,82.067749,106200
2015-10-13,95.169998,95.599998,95.000000,95.129997,81.826927,81500
2015-10-14,95.220001,95.690002,94.959999,95.099998,81.801109,86500
2015-10-15,95.190002,96.599998,94.989998,96.500000,83.005325,77800
2015-10-16,96.639999,97.160004,96.349998,96.699997,83.177368,94100
2015-10-19,96.440002,96.820000,95.879997,96.820000,83.280594,99100
2015-10-20,96.639999,97.480003,96.430000,97.029999,83.461220,82900
2015-10-21,97.120003,97.739998,96.660004,96.739998,83.211761,107300
2015-10-22,96.989998,98.000000,96.790001,97.800003,84.123558,103000
2015-10-23,97.870003,97.870003,96.040001,96.169998,82.721489,111600
2015-10-26,96.290001,96.500000,95.330002,96.050003,82.618271,118500
2015-10-27,95.980003,96.040001,95.349998,95.669998,82.291412,66600
2015-10-28,95.720001,96.019997,93.739998,94.849998,81.586067,375500
2015-10-29,94.389999,94.639999,93.160004,94.330002,81.138809,231300
2015-10-30,94.449997,95.129997,94.139999,94.830002,81.568878,114300
2015-11-02,94.889999,95.059998,94.190002,94.889999,81.620491,168000
2015-11-03,94.639999,95.279999,94.370003,95.199997,81.887138,158200
2015-11-04,95.279999,95.949997,95.269997,95.690002,82.308624,221600
2015-11-05,95.730003,95.730003,94.870003,94.900002,81.629089,90900
2015-11-06,93.559998,93.680000,90.769997,91.480003,78.687332,353500
2015-11-09,91.000000,91.989998,90.510002,91.610001,78.799156,194000
2015-11-10,91.620003,92.620003,91.620003,92.500000,79.564728,144300
2015-11-11,92.610001,93.330002,92.610001,93.230003,80.192619,78200
2015-11-12,92.959999,93.730003,92.099998,92.139999,79.255058,99800
2015-11-13,92.199997,92.860001,91.519997,91.739998,78.910980,85200
2015-11-16,91.709999,93.349998,91.690002,93.339996,80.287239,100700
2015-11-17,93.320000,93.750000,91.419998,91.639999,78.824966,96200
2015-11-18,91.820000,92.489998,90.989998,92.400002,79.478699,83900
2015-11-19,92.410004,93.410004,92.410004,93.239998,80.201233,71000
2015-11-20,93.500000,94.230003,93.330002,93.660004,80.562492,72000
2015-11-23,93.620003,93.889999,92.839996,92.989998,79.986198,48500
2015-11-24,92.690002,93.019997,92.099998,92.849998,79.865753,111700
2015-11-25,92.849998,92.849998,92.099998,92.389999,79.470093,75200
2015-11-27,92.500000,92.930000,92.500000,92.580002,79.633507,50800
2015-11-30,92.599998,93.389999,92.599998,92.809998,79.831352,83600
2015-12-01,93.120003,93.739998,92.690002,93.510002,80.433464,188800
2015-12-02,93.349998,93.349998,91.500000,91.570000,78.764763,183200
2015-12-03,91.589996,91.589996,90.459999,90.699997,78.016418,233300
2015-12-04,90.879997,91.940002,90.879997,91.870003,79.022804,173800
2015-12-07,91.760002,92.099998,91.220001,92.099998,79.220627,159000
2015-12-08,91.739998,92.150002,91.330002,92.019997,79.151833,179900
2015-12-09,91.769997,93.000000,91.500000,92.019997,79.151833,112200
2015-12-10,92.059998,92.150002,90.489998,90.599998,77.930420,163100
2015-12-11,90.389999,91.019997,89.699997,90.269997,77.646545,207500
2015-12-14,90.209999,90.650002,89.650002,90.589996,77.921791,123800
2015-12-15,90.830002,91.870003,90.699997,91.449997,78.661530,151500
2015-12-16,91.699997,93.889999,91.699997,93.790001,80.674294,190000
2015-12-17,92.980003,93.589996,92.510002,93.029999,80.776764,154000
2015-12-18,92.809998,92.820000,91.349998,92.010002,79.891113,180100
2015-12-21,92.440002,92.620003,91.610001,92.099998,79.969246,163000
2015-12-22,92.239998,93.080002,91.500000,92.889999,80.655205,171900
2015-12-23,93.099998,94.529999,93.099998,94.400002,81.966324,161500
2015-12-24,94.290001,94.570000,94.110001,94.379997,81.948959,51400
2015-12-28,94.010002,94.680000,93.830002,94.610001,82.148666,76500
2015-12-29,94.910004,95.370003,94.910004,95.150002,82.617531,53500
2015-12-30,95.110001,95.349998,94.849998,94.989998,82.478607,59600
2015-12-31,94.839996,94.839996,93.169998,93.930000,81.558212,88700
2016-01-04,93.279999,93.610001,92.699997,93.610001,81.280388,173200
2016-01-05,93.639999,94.459999,92.389999,94.269997,81.853424,148700
2016-01-06,93.739998,94.440002,93.510002,94.139999,81.740562,312200
2016-01-07,93.040001,93.910004,92.959999,93.449997,81.141449,101500
2016-01-08,93.620003,94.180000,93.260002,93.410004,81.106728,153600
2016-01-11,93.570000,94.220001,93.500000,93.970001,81.592964,109800
2016-01-12,94.320000,94.320000,92.820000,93.360001,81.063309,118600
2016-01-13,93.690002,94.050003,92.980003,93.180000,80.907013,151100
2016-01-14,93.389999,95.169998,93.010002,94.690002,82.218132,125100
2016-01-15,93.809998,94.279999,92.540001,93.779999,81.427979,166100
2016-01-19,94.269997,95.300003,93.889999,95.019997,82.504646,238400
2016-01-20,94.720001,94.769997,91.580002,92.989998,80.742043,208500
2016-01-21,93.290001,93.449997,92.150002,92.930000,80.689934,106800
2016-01-22,93.540001,94.779999,93.199997,94.760002,82.278908,136300
2016-01-25,94.699997,94.739998,93.529999,93.750000,81.401939,135300
2016-01-26,94.099998,95.309998,94.050003,94.550003,82.096565,96600
2016-01-27,94.360001,95.410004,93.959999,94.739998,82.261543,189900
2016-01-28,94.940002,96.849998,94.500000,96.309998,83.624756,214600
2016-01-29,97.000000,98.360001,97.000000,98.339996,85.387375,491300
2016-02-01,98.330002,99.750000,98.080002,99.370003,86.281700,242100
2016-02-02,98.949997,99.800003,98.529999,99.709999,86.576912,207000
2016-02-03,100.000000,101.400002,100.000000,101.000000,87.697021,316300
2016-02-04,101.000000,101.230003,100.279999,100.459999,87.228134,360500
2016-02-05,100.000000,101.080002,99.019997,100.610001,87.358368,214900
2016-02-08,100.449997,101.220001,99.430000,100.309998,87.097900,269700
2016-02-09,100.000000,101.050003,99.889999,100.699997,87.436523,194500
2016-02-10,100.459999,101.169998,99.139999,100.620003,87.367058,271200
2016-02-11,100.080002,100.570000,98.849998,99.010002,85.969116,411100
2016-02-12,99.120003,99.449997,97.849998,98.629997,85.639168,232600
2016-02-16,99.160004,99.459999,98.320000,99.320000,86.238289,636700
2016-02-17,99.580002,99.580002,98.500000,99.150002,86.090675,202700
2016-02-18,99.139999,100.989998,99.029999,100.660004,87.401787,518000
2016-02-19,100.260002,100.489998,99.489998,100.029999,86.854774,365500
2016-02-22,100.529999,101.099998,100.029999,101.050003,87.740433,286700
2016-02-23,100.680000,101.269997,100.330002,101.080002,87.766479,183200
2016-02-24,100.989998,101.760002,100.720001,101.639999,88.252731,1347800
2016-02-25,101.870003,102.580002,101.610001,102.580002,89.068916,124300
2016-02-26,102.180000,102.190002,99.739998,99.809998,86.663750,434500
2016-02-29,99.769997,100.949997,99.519997,100.089996,86.906868,198600
2016-03-01,100.660004,100.709999,99.089996,99.699997,86.568222,280100
2016-03-02,99.519997,100.440002,97.839996,100.400002,87.176056,299800
2016-03-03,100.500000,100.959999,99.309998,100.959999,87.662277,178900
